Rodada,GS1T,GF1T,GS2T,GF2T,Casa,PosseFla,FinaTotal,CAFla,CVFla,FinaAdvTotal,CAAdv,CVAdv
24-CA-R2,1,0,0,1,0,71,2,1,0,6,2,0
24-CA-R3,0,1,0,2,1,50,9,1,0,4,0,0
24-CA-R4,0,0,0,0,0,57,2,0,0,6,0,0
24-CA-R5,0,2,0,0,0,73,8,0,0,1,3,0
24-CA-R6,0,0,0,0,0,50,7,1,0,1,4,0
24-CA-R7,0,0,0,1,1,52,2,1,0,4,1,0
24-CA-R8,0,1,0,2,0,67,6,0,0,1,1,0
24-CA-R9,0,2,0,2,1,65,14,0,0,5,1,0
24-CA-R10,0,0,0,2,1,23,6,1,0,1,2,0
24-CA-R11,0,1,0,2,1,69,4,1,0,1,0,0
24-CA-SEM1,0,1,0,1,0,50,10,1,0,1,1,0
24-CA-SEM2,0,0,0,0,1,38,5,2,0,4,2,0
24-CA-FI1,0,1,0,2,0,65,7,1,0,1,2,0
24-CA-FI2,0,0,0,1,1,58,4,0,0,7,1,0
23-CA-R1,1,2,0,2,1,54,7,0,0,3,0,0
23-CA-R2,0,0,0,0,0,66,5,0,0,4,1,0
23-CA-R3,0,2,0,3,1,59,11,0,0,3,2,1
23-CA-R4,1,0,0,1,0,45,4,1,0,3,1,0
23-CA-R5,0,0,0,1,1,48,1,0,0,4,1,0
23-CA-R6,0,0,0,1,1,55,12,0,0,2,0,0
23-CA-R7,0,0,0,2,0,59,3,1,0,1,1,0
23-CA-R8,1,0,0,3,0,54,6,2,0,2,2,0
23-CA-R9,0,1,0,0,0,44,6,2,0,5,2,0
23-CA-R10,0,0,0,1,1,57,10,1,0,1,2,0
23-CA-R11,0,1,2,0,1,51,4,1,0,4,1,0
23-CA-SEM1,1,2,1,1,1,66,10,1,0,4,2,0
23-CA-SEM2,1,1,0,2,0,56,8,2,0,7,2,0
23-CA-FI1,0,0,0,2,1,44,10,1,0,6,2,0
23-CA-FI2,2,0,2,1,0,34,3,1,0,7,1,0
22-CA-SEM1,0,1,0,0,0,68,5,2,0,0,0,0
22-CA-SEM2,0,0,0,1,1,60,6,0,0,6,1,0
22-CA-FI1,0,0,2,0,1,56,5,5,0,0,1,0
22-CA-FI2,1,1,0,0,0,41,6,2,0,8,1,0
21-CA-SEM1,0,0,0,3,0,65,10,1,0,2,2,0
21-CA-SEM2,0,3,1,1,1,61,9,1,0,6,2,0
21-CA-FI1,0,1,1,0,0,71,6,2,0,3,3,0
21-CA-FI2,0,2,1,1,1,74,8,1,0,0,2,0
20-CA-SEM1,0,2,2,1,0,61,7,1,0,1,2,0
20-CA-FI1,1,1,0,1,0,56,5,1,0,2,2,0
20-TR-SEM1,0,1,0,1,1,60,7,0,0,3,0,0
20-TR-F1,1,0,0,1,0,50,2,2,1,4,1,0
2019-R38,2,0,2,0,0,48,1,2,0,10,1,0
2019-R37,1,3,0,3,1,61,13,0,0,3,0,0
2019-R36,0,3,1,0,0,61,6,1,0,5,0,0
2019-R35,1,0,0,4,1,68,10,0,0,2,1,0
2019-R34,2,2,2,2,1,64,4,3,0,5,2,0
2019-R33,0,1,0,0,0,41,7,1,0,7,0,0
2019-R32,1,0,0,3,0,69,8,0,0,4,0,0
2019-R31,0,0,0,1,0,63,5,1,0,6,4,0
2019-R30,1,2,0,2,1,69,9,0,0,5,0,0
2019-R29,0,0,2,2,0,72,4,0,0,9,1,0
2019-R28,0,1,0,0,1,65,11,0,0,5,0,0
2019-R27,0,1,0,1,1,56,11,2,0,5,2,0
2019-R26,0,0,1,2,0,69,6,1,0,5,0,0
2019-R25,0,1,0,1,0,52,7,1,0,5,0,0
2019-R24,0,1,1,2,1,72,11,0,0,3,1,0
2019-R23,0,1,0,0,0,67,16,0,0,1,0,0
2019-R22,0,0,0,0,1,61,9,1,0,4,2,0
2019-R21,0,1,1,2,1,68,8,1,0,1,0,2
2019-R20,1,1,0,1,0,61,5,1,0,4,0,0
2019-R19,0,1,0,0,1,60,5,2,0,3,3,0
2019-R18,0,2,0,1,0,66,4,0,0,3,0,0
2019-R17,0,2,0,1,1,61,5,0,0,0,1,0
2019-R16,0,2,0,1,0,50,3,0,0,7,1,0
2019-R15,0,1,1,3,0,63,7,0,0,5,0,0
2019-R14,1,1,0,2,1,55,6,2,0,4,2,0
2019-R13,3,0,0,0,0,64,6,1,0,4,0,0
2019-R12,1,1,1,2,1,69,9,3,0,4,2,0
2019-R11,0,0,1,1,0,59,4,0,0,9,1,0
2019-R10,1,4,0,2,1,76,12,1,0,5,1,0
2019-R9,0,0,0,2,0,62,9,0,0,5,1,0
2019-R8,0,0,0,0,0,41,5,2,0,5,1,0
2019-R7,0,1,0,1,1,65,13,0,0,4,0,0
2019-R6,0,1,2,2,1,51,4,1,0,5,1,0
2019-R5,1,1,1,0,0,64,8,1,0,10,0,1
2019-R4,0,1,1,1,1,61,11,1,0,8,3,0
2019-R3,0,1,1,0,0,35,6,3,0,8,1,0
2019-R2,1,0,1,1,0,56,2,0,0,8,2,0
2019-R1,1,1,0,2,1,56,6,1,0,2,1,0
